date,price
2019/12/13,9.3033
2019/12/12,9.219
2019/12/11,9.2761
2019/12/10,9.2608
2019/12/9,9.2597
2019/12/6,9.2318
2019/12/5,9.2526
2019/12/4,9.2429
2019/12/3,9.1704
2019/12/2,9.0967
2019/11/29,9.0832
2019/11/28,9.0837
2019/11/27,9.0465
2019/11/26,9.0487
2019/11/25,9.0807
2019/11/22,9.0441
2019/11/21,9.0798
2019/11/20,9.0898
2019/11/19,9.0955
2019/11/18,9.098
2019/11/15,9.0485
2019/11/14,9.0236
2019/11/13,9.012
2019/11/12,8.9983
2019/11/11,9.0202
2019/11/8,8.9599
2019/11/7,8.9425
2019/11/6,9.0112
2019/11/5,9.0225
2019/11/4,9.0701
2019/11/1,9.1096
2019/10/31,9.1049
2019/10/30,9.0845
2019/10/29,9.1005
2019/10/28,9.0907
2019/10/25,9.0728
2019/10/24,9.0734
2019/10/23,9.1048
2019/10/22,9.1649
2019/10/21,9.1831
2019/10/18,9.1155
2019/10/17,9.1052
2019/10/16,9.1048
2019/10/15,9.0223
2019/10/14,8.8896
2019/10/11,8.9909
2019/10/10,8.7656
2019/10/9,8.7152
2019/10/8,8.7197
2019/10/7,8.8074
2019/10/4,8.7973
2019/10/3,8.866
2019/10/2,8.7995
2019/10/1,8.7584
2019/9/30,8.7916
2019/9/27,8.7721
2019/9/26,8.8134
2019/9/25,8.8247
2019/9/24,8.8703
2019/9/23,8.8517
2019/9/20,8.8584
2019/9/19,8.8563
2019/9/18,8.8452
2019/9/17,8.8518
2019/9/16,8.7761
2019/9/13,8.8148
2019/9/12,8.732
2019/9/11,8.7733
2019/9/10,8.7856
2019/9/9,8.7985
2019/9/6,8.762
2019/9/5,8.8203
2019/9/4,8.7121
2019/9/3,8.6756
2019/9/2,8.652
2019/8/30,8.7194
2019/8/29,8.7112
2019/8/28,8.7665
2019/8/27,8.8011
2019/8/26,8.7484
2019/8/23,8.7078
2019/8/22,8.6743
2019/8/21,8.5731
2019/8/20,8.5797
2019/8/19,8.557
2019/8/16,8.5554
2019/8/15,8.5212
2019/8/14,8.4731
2019/8/13,8.4963
2019/8/12,8.5203
2019/8/9,8.5357
2019/8/8,8.5514
2019/8/7,8.585
2019/8/6,8.5345
2019/8/5,8.5628
2019/8/2,8.4125
2019/8/1,8.3747
2019/7/31,8.4107
2019/7/30,8.3664
2019/7/29,8.4291
2019/7/26,8.5209
2019/7/25,8.5781
2019/7/24,8.5848
2019/7/23,8.5625
2019/7/22,8.5923
2019/7/19,8.6035
2019/7/18,8.5916
2019/7/17,8.5445
2019/7/16,8.5304
2019/7/15,8.6069
2019/7/12,8.6421
2019/7/11,8.6246
2019/7/10,8.5887
2019/7/9,8.5797
2019/7/8,8.6082
2019/7/5,8.6157
2019/7/4,8.6454
2019/7/3,8.65
2019/7/2,8.6557
2019/7/1,8.6667
2019/6/28,8.7245
2019/6/27,8.7135
2019/6/26,8.7279
2019/6/25,8.7495
2019/6/24,8.7536
2019/6/21,8.7201
2019/6/20,8.6979
2019/6/19,8.7218
2019/6/18,8.6658
2019/6/17,8.6989
2019/6/14,8.7285
2019/6/13,8.7809
2019/6/12,8.8046
2019/6/11,8.792
2019/6/10,8.7898
2019/6/7,8.803
2019/6/6,8.7834
2019/6/5,8.7799
2019/6/4,8.7577
2019/6/3,8.717
2019/5/31,8.7139
2019/5/30,8.7001
2019/5/29,8.7255
2019/5/28,8.7544
2019/5/27,8.743
2019/5/24,8.7539
2019/5/23,8.7557
2019/5/22,8.7428
2019/5/21,8.8073
2019/5/20,8.7998
2019/5/17,8.809
2019/5/16,8.8059
2019/5/15,8.8493
2019/5/14,8.8795
2019/5/13,8.9113
2019/5/10,8.8927
2019/5/9,8.8879
2019/5/8,8.8291
2019/5/7,8.8428
2019/5/6,8.8567
2019/5/3,8.8575
2019/5/2,8.7777
2019/5/1,8.8126
2019/4/30,8.7751
2019/4/29,8.7039
2019/4/26,8.6998
2019/4/25,8.7029
2019/4/24,8.7033
2019/4/23,8.699
2019/4/22,8.712
2019/4/19,8.7181
2019/4/18,8.7243
2019/4/17,8.7242
2019/4/16,8.7609
2019/4/15,8.7913
2019/4/12,8.7888
2019/4/11,8.7846
2019/4/10,8.7881
2019/4/9,8.7582
2019/4/8,8.7586
2019/4/5,8.7297
2019/4/4,8.7801
2019/4/3,8.8244
2019/4/2,8.7608
2019/4/1,8.8054
2019/3/29,8.7479
2019/3/28,8.8167
2019/3/27,8.8929
2019/3/26,8.8824
2019/3/25,8.8769
2019/3/22,8.8611
2019/3/21,8.7629
2019/3/20,8.8326
2019/3/19,8.9044
2019/3/18,8.8776
2019/3/15,8.9113
2019/3/14,8.917
2019/3/13,8.8628
2019/3/12,8.8014
2019/3/11,8.7994
2019/3/8,8.7662
2019/3/7,8.7975
2019/3/6,8.8348
2019/3/5,8.7951
2019/3/4,8.8422
2019/3/1,8.8958
2019/2/28,8.8859
2019/2/27,8.9096
2019/2/26,8.8234
2019/2/25,8.7474
2019/2/22,8.7563
2019/2/21,8.7678
2019/2/20,8.7741
2019/2/19,8.7802
2019/2/18,8.742
2019/2/15,8.681
2019/2/14,8.6553
2019/2/13,8.7187
2019/2/12,8.7225
2019/2/11,8.7451
2019/2/8,8.7287
2019/2/7,8.7511
2019/2/6,8.7412
2019/2/5,8.7312
2019/2/4,8.8228
2019/2/1,8.8212
2019/1/31,8.7908
2019/1/30,8.7743
2019/1/29,8.8775
2019/1/28,8.8891
2019/1/25,8.8791
2019/1/24,8.864
2019/1/23,8.8689
2019/1/22,8.8147
2019/1/21,8.7444
2019/1/18,8.7412
2019/1/17,8.7496
2019/1/16,8.696
2019/1/15,8.6612
2019/1/14,8.7049
2019/1/11,8.6522
2019/1/10,8.6525
2019/1/9,8.7184
2019/1/8,8.7175
2019/1/7,8.7569
2019/1/4,8.7081
2019/1/3,8.6494
2019/1/2,8.6549
2019/1/1,8.7649
2018/12/31,8.8089
2018/12/28,8.724
2018/12/27,8.6937
2018/12/26,8.7466
2018/12/25,8.7283
2018/12/24,8.7708
2018/12/21,8.7346
2018/12/20,8.7046
2018/12/19,8.7299
2018/12/18,8.7269
2018/12/17,8.6961
2018/12/14,8.6691
2018/12/13,8.6884
2018/12/12,8.6975
2018/12/11,8.6656
2018/12/10,8.7409
2018/12/7,8.7558
2018/12/6,8.8078
2018/12/5,8.725
2018/12/4,8.7119
2018/12/3,8.762
2018/11/30,8.8744
2018/11/29,8.8715
2018/11/28,8.8828
2018/11/27,8.8662
2018/11/26,8.9077
2018/11/23,8.9112
2018/11/22,8.9154
2018/11/21,8.8718
2018/11/20,8.9089
2018/11/19,8.9265
2018/11/16,8.9177
2018/11/15,8.8775
2018/11/14,9.0197
2018/11/13,9.0085
2018/11/12,8.9771
2018/11/9,9.0727
2018/11/8,9.0962
2018/11/7,9.1035
2018/11/6,9.0495
2018/11/5,9.0246
2018/11/2,8.9442
2018/11/1,8.9646
2018/10/31,8.9379
2018/10/30,8.8795
2018/10/29,8.9211
2018/10/26,8.9099
2018/10/25,8.909
2018/10/24,8.9569
2018/10/23,9.0099
2018/10/22,9.0182
2018/10/19,9.0318
2018/10/18,9.0712
2018/10/17,9.0984
2018/10/16,9.1274
2018/10/15,9.0937
2018/10/12,9.1047
2018/10/11,9.0875
2018/10/10,9.1391
2018/10/9,9.0754
2018/10/8,9.0481
2018/10/5,8.9912
2018/10/4,8.946
2018/10/3,8.9307
2018/10/2,8.9147
2018/10/1,8.9613
2018/9/28,8.962
2018/9/27,9.0311
2018/9/26,9.0628
2018/9/25,9.0343
2018/9/24,9.0083
2018/9/21,8.9677
2018/9/20,9.0643
2018/9/19,9.0065
2018/9/18,9.0201
2018/9/17,9.0078
2018/9/14,8.984
2018/9/13,8.9683
2018/9/12,8.9358
2018/9/11,8.9321
2018/9/10,8.9312
2018/9/7,8.8614
2018/9/6,8.843
2018/9/5,8.7992
2018/9/4,8.7757
2018/9/3,8.7914
2018/8/31,8.8667
2018/8/30,8.8938
2018/8/29,8.8701
2018/8/28,8.7648
2018/8/27,8.7822
2018/8/24,8.7534
2018/8/23,8.8261
2018/8/22,8.8315
2018/8/21,8.8061
2018/8/20,8.7522
2018/8/17,8.7581
2018/8/16,8.7614
2018/8/15,8.8019
2018/8/14,8.7722
2018/8/13,8.799
2018/8/10,8.7528
2018/8/9,8.7813
2018/8/8,8.8084
2018/8/7,8.8499
2018/8/6,8.8763
2018/8/3,8.8906
2018/8/2,8.9167
2018/8/1,8.9486
2018/7/31,8.94
2018/7/30,8.9596
2018/7/27,8.9394
2018/7/26,8.9307
2018/7/25,8.8983
2018/7/24,8.9259
2018/7/23,8.9059
2018/7/20,8.8736
2018/7/19,8.7981
2018/7/18,8.7718
2018/7/17,8.8373
2018/7/16,8.8542
2018/7/13,8.8446
2018/7/12,8.8189
2018/7/11,8.842
2018/7/10,8.8043
2018/7/9,8.7642
2018/7/6,8.8186
2018/7/5,8.7739
2018/7/4,8.7661
2018/7/3,8.7595
2018/7/2,8.7514
2018/6/29,8.7368
